Cruise,Station,mon/day/yr,hh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],QF,Potential Temperature [oC],QF,Salinity [psu],QF,"Sigma-theta
[kg/m^3]",QF,DO [mL/L],QF,AOU [mL/L],QF,Nitrate [micro M],QF,"Nitrite
 [micro M]",QF,"Silicate 
[micro M]",QF,Phosphate [micro M],QF,Chlorophyll [micro g/L],QF,Prokaryotic production [micro g C/L/d],QF,Prokaryote abundance [10^5 cells/mL],QF,Viral abundance [10^5 particles/mL],QF
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,0,0,13.9,0,35.3361,0,26.4687,0,5.9,0,-4.27,0,3.3,0,0.17,0,0,0,0.38,0,0.69,0,0.939163,0,13.945,0,101.8,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,11,0,13.9315,0,35.338,0,26.4636,0,5.91,0,-4.93,0,3.3,0,0.15,0,0,0,0.36,0,0.76,0,1.536697,0,14.038,0,95.78,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,20,0,13.924,0,35.3511,0,26.4753,0,5.92,0,-5.23,0,3.3,0,0.17,0,0,0,0.36,0,0.65,0,1.478736,0,13.675,0,93.96,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,30,0,13.9056,0,35.3768,0,26.499,0,5.92,0,-5.27,0,3.4,0,0.14,0,0,0,0.37,0,0.62,0,1.339514,0,13.78,0,93.3,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,50,0,13.8497,0,35.3725,0,26.5074,0,5.9,0,-4.2,0,3.5,0,0.11,0,0,0,0.36,0,0.53,0,1.176756,0,12.696,0,89.37,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,75,0,13.6733,0,35.3528,0,26.529,0,5.88,0,-1.97,0,3.9,0,0.16,0,0,0,0.39,0,0.45,0,1.009126,0,11.436,0,78.78,0
KH04_5,SX03,12/19/2004,02:22,149.915,-44.9173,3591,99,0,12.4526,0,35.1632,0,26.6288,0,5.8,0,8.5,0,7.9,0,0.27,0,1.5,0,0.62,0,0.06,0,0.214435,0,5.613,0,54.57,0
KH04_5,SX03,12/19/2004,02:22,149.9297,-44.9467,3591,123,0,11.9429,0,35.1139,0,26.6891,0,5.82,0,10.48,0,9.1,0,0.3,0,1.6,0,0.69,0,0.03,0,0.110651,0,4.112,0,51.44,0
KH04_5,SX03,12/19/2004,00:08,149.915,-44.9173,3673,148,0,11.7797,0,35.1065,0,26.7144,0,5.68,0,17.61,0,10.1,0,0.1,0,1.7,0,0.74,0,0.03,0,0.023677,0,3.465,0,51.01,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,198,0,11.4128,0,35.0985,0,26.777,0,5.68,0,19.63,0,10.7,0,0.02,0,1.8,0,0.77,0,0,0,0.01658,0,2.84,0,47.64,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,298,0,10.6206,0,34.9509,0,26.8059,0,5.61,0,28.08,0,13.3,0,0.02,0,2.6,0,0.91,0,,,0.012599,0,1.209,0,4.37,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,396,0,9.66709,0,34.7829,0,26.8391,0,5.75,0,27.78,0,15.4,0,0.02,0,3.2,0,1.05,0,,,0.011765,0,2.178,0,4.96,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,494,0,8.98002,0,34.6673,0,26.8612,0,5.53,0,42.08,0,17.9,0,0,0,4.3,0,1.2,0,,,0.003876,0,1.676,0,3.99,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,595,0,8.18694,0,34.559,0,26.8997,0,5,0,71.36,0,22.4,0,0,0,8,0,1.46,0,,,0.002317,0,1.521,0,2.76,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,791,0,6.80623,0,34.4924,0,27.0457,0,4.47,0,104.64,0,27.6,0,0,0,19.7,0,1.81,0,,,0.00149,0,1.035,0,2.29,0
KH04_5,SX03,12/19/2004,00:08,149.9297,-44.9467,3673,989,0,5.22542,0,34.4488,0,27.2121,0,4.23,0,127.05,0,31.5,0,0,0,36.9,0,2.09,0,,,0.00085,0,0.73,0,9.89,0
KH04_5,SX03,12/18/2004,17:57,149.987,-44.9897,3825,1237,0,3.75245,0,34.4995,0,27.4134,0,3.82,0,156.98,0,34.9,0,0,0,66.3,0,2.34,0,,,0.000458,0,0.555,0,7.37,0
KH04_5,SX03,12/18/2004,17:57,149.987,-44.9897,3825,1482,0,2.90901,0,34.5541,0,27.5375,0,3.74,0,167,0,36,0,0,0,79.8,0,2.42,0,,,0.000384,0,0.444,0,6.89,0
KH04_5,SX03,12/18/2004,17:57,149.987,-44.9897,3825,1728,0,2.41485,0,34.6273,0,27.6392,0,3.9,0,164.09,0,35.2,0,0,0,82.5,0,2.35,0,,,0.000349,0,0.436,0,7.53,0
